"","activity","gender","year","age_group","amount"
"89","alcohol and drug team","Male",2002,"85+",4
"90","alcohol and drug team","Male",2002,"85+",3
"91","alcohol and drug team","Female",2002,"0–",0
"92","alcohol and drug team","Female",2002,"10–",11
"93","alcohol and drug team","Female",2002,"15–",116
"94","alcohol and drug team","Female",2002,"20–",498
"95","alcohol and drug team","Female",2002,"25–",596
"96","alcohol and drug team","Female",2002,"30–",888
"97","alcohol and drug team","Female",2002,"35–",1077
"98","alcohol and drug team","Female",2002,"40–",1028
"99","alcohol and drug team","Female",2002,"40–",834
"100","alcohol and drug team","Female",2002,"50–",463
"101","alcohol and drug team","Female",2002,"60–",248
"102","alcohol and drug team","Female",2002,"60–",147
"103","alcohol and drug team","Female",2002,"65–",55
"104","alcohol and drug team","Female",2002,"70–",35
"105","alcohol and drug team","Female",2002,"75–",19
"106","alcohol and drug team","Female",2002,"80–",13
"107","alcohol and drug team","Female",2002,"85+",6
"108","alcohol and drug team","Female",2002,"85+",3
"109","child, adolescent and family team","Male",2002,"0–",393
"110","child, adolescent and family team","Male",2002,"10–",2608
"111","child, adolescent and family team","Male",2002,"15–",3703
"112","child, adolescent and family team","Male",2002,"20–",1588
"113","child, adolescent and family team","Male",2002,"25–",57
"114","child, adolescent and family team","Male",2002,"30–",37
"115","child, adolescent and family team","Male",2002,"35–",18
"116","child, adolescent and family team","Male",2002,"40–",32
"117","child, adolescent and family team","Male",2002,"40–",34
"118","child, adolescent and family team","Male",2002,"50–",32
"119","child, adolescent and family team","Male",2002,"60–",16
"120","child, adolescent and family team","Male",2002,"60–",8
"121","child, adolescent and family team","Male",2002,"65–",9
"122","child, adolescent and family team","Male",2002,"70–",0
"123","child, adolescent and family team","Male",2002,"75–",0
"124","child, adolescent and family team","Male",2002,"80–",2
"125","child, adolescent and family team","Male",2002,"85+",0
"126","child, adolescent and family team","Male",2002,"85+",2
"127","child, adolescent and family team","Female",2002,"0–",211
"128","child, adolescent and family team","Female",2002,"10–",1063
"129","child, adolescent and family team","Female",2002,"15–",1985
"130","child, adolescent and family team","Female",2002,"20–",2078
"131","child, adolescent and family team","Female",2002,"25–",123
"132","child, adolescent and family team","Female",2002,"30–",79
"133","child, adolescent and family team","Female",2002,"35–",106
"134","child, adolescent and family team","Female",2002,"40–",100
"135","child, adolescent and family team","Female",2002,"40–",51
"136","child, adolescent and family team","Female",2002,"50–",43
"137","child, adolescent and family team","Female",2002,"60–",21
"138","child, adolescent and family team","Female",2002,"60–",14
"139","child, adolescent and family team","Female",2002,"65–",13
"140","child, adolescent and family team","Female",2002,"70–",2
"141","child, adolescent and family team","Female",2002,"75–",2
"142","child, adolescent and family team","Female",2002,"80–",2
"143","child, adolescent and family team","Female",2002,"85+",0
"144","child, adolescent and family team","Female",2002,"85+",0
"145","forensic team","Male",2002,"0–",0
"146","forensic team","Male",2002,"10–",0
"147","forensic team","Male",2002,"15–",20
"148","forensic team","Male",2002,"20–",298
"149","forensic team","Male",2002,"25–",544
"150","forensic team","Male",2002,"30–",571
"151","forensic team","Male",2002,"35–",572
"152","forensic team","Male",2002,"40–",504
"153","forensic team","Male",2002,"40–",305
"154","forensic team","Male",2002,"50–",227
"155","forensic team","Male",2002,"60–",112
"156","forensic team","Male",2002,"60–",78
"157","forensic team","Male",2002,"65–",35
"158","forensic team","Male",2002,"70–",17
"159","forensic team","Male",2002,"75–",12
"160","forensic team","Male",2002,"80–",7
"161","forensic team","Male",2002,"85+",0
"162","forensic team","Male",2002,"85+",0
"163","forensic team","Female",2002,"0–",0
"164","forensic team","Female",2002,"10–",0
"165","forensic team","Female",2002,"15–",3
"166","forensic team","Female",2002,"20–",49
"167","forensic team","Female",2002,"25–",91
"168","forensic team","Female",2002,"30–",75
"169","forensic team","Female",2002,"35–",92
"170","forensic team","Female",2002,"40–",102
"171","forensic team","Female",2002,"40–",82
"172","forensic team","Female",2002,"50–",38
"173","forensic team","Female",2002,"60–",19
"174","forensic team","Female",2002,"60–",9
"175","forensic team","Female",2002,"65–",4
"176","forensic team","Female",2002,"70–",1
"177","forensic team","Female",2002,"75–",1
"178","forensic team","Female",2002,"80–",1
"179","forensic team","Female",2002,"85+",0
"180","forensic team","Female",2002,"85+",0
"181","kaupapa māori team","Male",2002,"0–",27
"182","kaupapa māori team","Male",2002,"10–",155
"183","kaupapa māori team","Male",2002,"15–",242
"184","kaupapa māori team","Male",2002,"20–",220
"185","kaupapa māori team","Male",2002,"25–",207
"186","kaupapa māori team","Male",2002,"30–",254
"187","kaupapa māori team","Male",2002,"35–",259
"188","kaupapa māori team","Male",2002,"40–",227
"189","kaupapa māori team","Male",2002,"40–",170
"190","kaupapa māori team","Male",2002,"50–",117
"191","kaupapa māori team","Male",2002,"60–",65
"192","kaupapa māori team","Male",2002,"60–",43
"193","kaupapa māori team","Male",2002,"65–",24
"194","kaupapa māori team","Male",2002,"70–",13
"195","kaupapa māori team","Male",2002,"75–",10
"196","kaupapa māori team","Male",2002,"80–",5
"197","kaupapa māori team","Male",2002,"85+",2
"198","kaupapa māori team","Male",2002,"85+",0
"199","kaupapa māori team","Female",2002,"0–",5
"200","kaupapa māori team","Female",2002,"10–",57
"201","kaupapa māori team","Female",2002,"15–",159
"202","kaupapa māori team","Female",2002,"20–",203
"203","kaupapa māori team","Female",2002,"25–",171
"204","kaupapa māori team","Female",2002,"30–",210
"205","kaupapa māori team","Female",2002,"35–",278
"206","kaupapa māori team","Female",2002,"40–",254
"207","kaupapa māori team","Female",2002,"40–",185
"208","kaupapa māori team","Female",2002,"50–",139
"209","kaupapa māori team","Female",2002,"60–",83
"210","kaupapa māori team","Female",2002,"60–",50
"211","kaupapa māori team","Female",2002,"65–",26
"212","kaupapa māori team","Female",2002,"70–",19
"213","kaupapa māori team","Female",2002,"75–",12
"214","kaupapa māori team","Female",2002,"80–",6
"215","kaupapa māori team","Female",2002,"85+",5
"216","kaupapa māori team","Female",2002,"85+",4
"217","pacific island team","Male",2002,"0–",0
"218","pacific island team","Male",2002,"10–",4
"219","pacific island team","Male",2002,"15–",6
"220","pacific island team","Male",2002,"20–",23
"221","pacific island team","Male",2002,"25–",60
"222","pacific island team","Male",2002,"30–",58
"223","pacific island team","Male",2002,"35–",40
"224","pacific island team","Male",2002,"40–",38
"225","pacific island team","Male",2002,"40–",30
"226","pacific island team","Male",2002,"50–",10
"227","pacific island team","Male",2002,"60–",10
"228","pacific island team","Male",2002,"60–",8
"229","pacific island team","Male",2002,"65–",8
"230","pacific island team","Male",2002,"70–",3
"231","pacific island team","Male",2002,"75–",1
"232","pacific island team","Male",2002,"80–",3
"233","pacific island team","Male",2002,"85+",1
"234","pacific island team","Male",2002,"85+",0
"235","pacific island team","Female",2002,"0–",0
"236","pacific island team","Female",2002,"10–",1
"237","pacific island team","Female",2002,"15–",5
"238","pacific island team","Female",2002,"20–",13
"239","pacific island team","Female",2002,"25–",34
"240","pacific island team","Female",2002,"30–",32
"241","pacific island team","Female",2002,"35–",34
"242","pacific island team","Female",2002,"40–",30
"243","pacific island team","Female",2002,"40–",23
"244","pacific island team","Female",2002,"50–",19
"245","pacific island team","Female",2002,"60–",14
"246","pacific island team","Female",2002,"60–",9
"247","pacific island team","Female",2002,"65–",10
"248","pacific island team","Female",2002,"70–",5
"249","pacific island team","Female",2002,"75–",2
"250","pacific island team","Female",2002,"80–",0
"251","pacific island team","Female",2002,"85+",0
"252","pacific island team","Female",2002,"85+",0
"253","residential team","Male",2002,"0–",0
"254","residential team","Male",2002,"10–",0
"255","residential team","Male",2002,"15–",0
"256","residential team","Male",2002,"20–",5
"257","residential team","Male",2002,"25–",9
"258","residential team","Male",2002,"30–",20
"259","residential team","Male",2002,"35–",23
"260","residential team","Male",2002,"40–",27
"261","residential team","Male",2002,"40–",28
"262","residential team","Male",2002,"50–",17
"263","residential team","Male",2002,"60–",6
"264","residential team","Male",2002,"60–",6
"265","residential team","Male",2002,"65–",4
"266","residential team","Male",2002,"70–",2
"267","residential team","Male",2002,"75–",1
"268","residential team","Male",2002,"80–",1
"269","residential team","Male",2002,"85+",0
"270","residential team","Male",2002,"85+",0
"271","residential team","Female",2002,"0–",0
"272","residential team","Female",2002,"10–",0
"273","residential team","Female",2002,"15–",0
"274","residential team","Female",2002,"20–",0
"275","residential team","Female",2002,"25–",5
"276","residential team","Female",2002,"30–",6
"277","residential team","Female",2002,"35–",7
"278","residential team","Female",2002,"40–",7
"279","residential team","Female",2002,"40–",17
"280","residential team","Female",2002,"50–",9
"281","residential team","Female",2002,"60–",9
"282","residential team","Female",2002,"60–",5
"283","residential team","Female",2002,"65–",2
"284","residential team","Female",2002,"70–",5
"285","residential team","Female",2002,"75–",0
"286","residential team","Female",2002,"80–",0
"287","residential team","Female",2002,"85+",0
"288","residential team","Female",2002,"85+",0
"289","community skills enhancement team","Male",2002,"0–",0
"290","community skills enhancement team","Male",2002,"10–",1
"291","community skills enhancement team","Male",2002,"15–",1
"292","community skills enhancement team","Male",2002,"20–",17
"293","community skills enhancement team","Male",2002,"25–",60
"294","community skills enhancement team","Male",2002,"30–",97
"295","community skills enhancement team","Male",2002,"35–",122
"296","community skills enhancement team","Male",2002,"40–",116
"297","community skills enhancement team","Male",2002,"40–",111
"298","community skills enhancement team","Male",2002,"50–",85
"299","community skills enhancement team","Male",2002,"60–",69
"300","community skills enhancement team","Male",2002,"60–",47
"301","community skills enhancement team","Male",2002,"65–",25
"302","community skills enhancement team","Male",2002,"70–",9
"303","community skills enhancement team","Male",2002,"75–",11
"304","community skills enhancement team","Male",2002,"80–",0
"305","community skills enhancement team","Male",2002,"85+",2
"306","community skills enhancement team","Male",2002,"85+",0
"307","community skills enhancement team","Female",2002,"0–",0
"308","community skills enhancement team","Female",2002,"10–",0
"309","community skills enhancement team","Female",2002,"15–",1
"310","community skills enhancement team","Female",2002,"20–",9
"311","community skills enhancement team","Female",2002,"25–",38
"312","community skills enhancement team","Female",2002,"30–",61
"313","community skills enhancement team","Female",2002,"35–",114
"314","community skills enhancement team","Female",2002,"40–",123
"315","community skills enhancement team","Female",2002,"40–",96
"316","community skills enhancement team","Female",2002,"50–",80
"317","community skills enhancement team","Female",2002,"60–",80
"318","community skills enhancement team","Female",2002,"60–",52
"319","community skills enhancement team","Female",2002,"65–",31
"320","community skills enhancement team","Female",2002,"70–",11
"321","community skills enhancement team","Female",2002,"75–",9
"322","community skills enhancement team","Female",2002,"80–",12
"323","community skills enhancement team","Female",2002,"85+",3
"324","community skills enhancement team","Female",2002,"85+",0
"325","alcohol and drug kaupapa māori team","Male",2002,"0–",0
"326","alcohol and drug kaupapa māori team","Male",2002,"10–",0
"327","alcohol and drug kaupapa māori team","Male",2002,"15–",10
"328","alcohol and drug kaupapa māori team","Male",2002,"20–",65
"329","alcohol and drug kaupapa māori team","Male",2002,"25–",82
"330","alcohol and drug kaupapa māori team","Male",2002,"30–",80
"331","alcohol and drug kaupapa māori team","Male",2002,"35–",109
"332","alcohol and drug kaupapa māori team","Male",2002,"40–",99
"333","alcohol and drug kaupapa māori team","Male",2002,"40–",65
"334","alcohol and drug kaupapa māori team","Male",2002,"50–",42
"335","alcohol and drug kaupapa māori team","Male",2002,"60–",16
"336","alcohol and drug kaupapa māori team","Male",2002,"60–",7
"337","alcohol and drug kaupapa māori team","Male",2002,"65–",1
"338","alcohol and drug kaupapa māori team","Male",2002,"70–",1
"339","alcohol and drug kaupapa māori team","Male",2002,"75–",0
"340","alcohol and drug kaupapa māori team","Male",2002,"80–",3
"341","alcohol and drug kaupapa māori team","Male",2002,"85+",0
"342","alcohol and drug kaupapa māori team","Male",2002,"85+",0
"343","alcohol and drug kaupapa māori team","Female",2002,"0–",0
"344","alcohol and drug kaupapa māori team","Female",2002,"10–",0
"345","alcohol and drug kaupapa māori team","Female",2002,"15–",14
"346","alcohol and drug kaupapa māori team","Female",2002,"20–",44
"347","alcohol and drug kaupapa māori team","Female",2002,"25–",46
"348","alcohol and drug kaupapa māori team","Female",2002,"30–",54
"349","alcohol and drug kaupapa māori team","Female",2002,"35–",80
"350","alcohol and drug kaupapa māori team","Female",2002,"40–",71
"351","alcohol and drug kaupapa māori team","Female",2002,"40–",36
"352","alcohol and drug kaupapa māori team","Female",2002,"50–",22
"353","alcohol and drug kaupapa māori team","Female",2002,"60–",8
"354","alcohol and drug kaupapa māori team","Female",2002,"60–",4
"355","alcohol and drug kaupapa māori team","Female",2002,"65–",3
"356","alcohol and drug kaupapa māori team","Female",2002,"70–",2
"357","alcohol and drug kaupapa māori team","Female",2002,"75–",1
"358","alcohol and drug kaupapa māori team","Female",2002,"80–",0
"359","alcohol and drug kaupapa māori team","Female",2002,"85+",0
"360","alcohol and drug kaupapa māori team","Female",2002,"85+",0
"361","alcohol and drug dual diagnosis team","Male",2002,"0–",0
"362","alcohol and drug dual diagnosis team","Male",2002,"10–",0
"363","alcohol and drug dual diagnosis team","Male",2002,"15–",3
"364","alcohol and drug dual diagnosis team","Male",2002,"20–",16
"365","alcohol and drug dual diagnosis team","Male",2002,"25–",44
"366","alcohol and drug dual diagnosis team","Male",2002,"30–",59
"367","alcohol and drug dual diagnosis team","Male",2002,"35–",45
"368","alcohol and drug dual diagnosis team","Male",2002,"40–",54
"369","alcohol and drug dual diagnosis team","Male",2002,"40–",25
"370","alcohol and drug dual diagnosis team","Male",2002,"50–",26
"371","alcohol and drug dual diagnosis team","Male",2002,"60–",18
"372","alcohol and drug dual diagnosis team","Male",2002,"60–",7
"373","alcohol and drug dual diagnosis team","Male",2002,"65–",6
"374","alcohol and drug dual diagnosis team","Male",2002,"70–",1
"375","alcohol and drug dual diagnosis team","Male",2002,"75–",0
"376","alcohol and drug dual diagnosis team","Male",2002,"80–",0
"377","alcohol and drug dual diagnosis team","Male",2002,"85+",0
"378","alcohol and drug dual diagnosis team","Male",2002,"85+",0
"379","alcohol and drug dual diagnosis team","Female",2002,"0–",0
"380","alcohol and drug dual diagnosis team","Female",2002,"10–",0
"381","alcohol and drug dual diagnosis team","Female",2002,"15–",0
"382","alcohol and drug dual diagnosis team","Female",2002,"20–",11
"383","alcohol and drug dual diagnosis team","Female",2002,"25–",35
"384","alcohol and drug dual diagnosis team","Female",2002,"30–",37
"385","alcohol and drug dual diagnosis team","Female",2002,"35–",44
"386","alcohol and drug dual diagnosis team","Female",2002,"40–",30
"387","alcohol and drug dual diagnosis team","Female",2002,"40–",25
"388","alcohol and drug dual diagnosis team","Female",2002,"50–",17
"389","alcohol and drug dual diagnosis team","Female",2002,"60–",13
"390","alcohol and drug dual diagnosis team","Female",2002,"60–",3
"391","alcohol and drug dual diagnosis team","Female",2002,"65–",5
"392","alcohol and drug dual diagnosis team","Female",2002,"70–",4
"393","alcohol and drug dual diagnosis team","Female",2002,"75–",0
"394","alcohol and drug dual diagnosis team","Female",2002,"80–",0
"395","alcohol and drug dual diagnosis team","Female",2002,"85+",0
"396","alcohol and drug dual diagnosis team","Female",2002,"85+",0
"397","intellectual disability dual diagnosis team","Male",2002,"0–",0
"398","intellectual disability dual diagnosis team","Male",2002,"10–",0
"399","intellectual disability dual diagnosis team","Male",2002,"15–",0
"400","intellectual disability dual diagnosis team","Male",2002,"20–",13
"401","intellectual disability dual diagnosis team","Male",2002,"25–",31
"402","intellectual disability dual diagnosis team","Male",2002,"30–",38
"403","intellectual disability dual diagnosis team","Male",2002,"35–",39
"404","intellectual disability dual diagnosis team","Male",2002,"40–",39
"405","intellectual disability dual diagnosis team","Male",2002,"40–",57
"406","intellectual disability dual diagnosis team","Male",2002,"50–",31
"407","intellectual disability dual diagnosis team","Male",2002,"60–",29
"408","intellectual disability dual diagnosis team","Male",2002,"60–",18
"409","intellectual disability dual diagnosis team","Male",2002,"65–",9
"410","intellectual disability dual diagnosis team","Male",2002,"70–",5
"411","intellectual disability dual diagnosis team","Male",2002,"75–",3
"412","intellectual disability dual diagnosis team","Male",2002,"80–",0
"413","intellectual disability dual diagnosis team","Male",2002,"85+",0
"414","intellectual disability dual diagnosis team","Male",2002,"85+",0
"415","intellectual disability dual diagnosis team","Female",2002,"0–",0
"416","intellectual disability dual diagnosis team","Female",2002,"10–",1
"417","intellectual disability dual diagnosis team","Female",2002,"15–",0
"418","intellectual disability dual diagnosis team","Female",2002,"20–",13
"419","intellectual disability dual diagnosis team","Female",2002,"25–",13
"420","intellectual disability dual diagnosis team","Female",2002,"30–",23
"421","intellectual disability dual diagnosis team","Female",2002,"35–",33
"422","intellectual disability dual diagnosis team","Female",2002,"40–",37
"423","intellectual disability dual diagnosis team","Female",2002,"40–",47
"424","intellectual disability dual diagnosis team","Female",2002,"50–",37
"425","intellectual disability dual diagnosis team","Female",2002,"60–",22
"426","intellectual disability dual diagnosis team","Female",2002,"60–",11
"427","intellectual disability dual diagnosis team","Female",2002,"65–",14
"428","intellectual disability dual diagnosis team","Female",2002,"70–",5
"429","intellectual disability dual diagnosis team","Female",2002,"75–",2
"430","intellectual disability dual diagnosis team","Female",2002,"80–",0
"431","intellectual disability dual diagnosis team","Female",2002,"85+",0
"432","intellectual disability dual diagnosis team","Female",2002,"85+",1
"433","psychogeriatric team","Male",2002,"0–",0
"434","psychogeriatric team","Male",2002,"10–",1
"435","psychogeriatric team","Male",2002,"15–",0
"436","psychogeriatric team","Male",2002,"20–",5
"437","psychogeriatric team","Male",2002,"25–",19
"438","psychogeriatric team","Male",2002,"30–",16
"439","psychogeriatric team","Male",2002,"35–",19
"440","psychogeriatric team","Male",2002,"40–",17
"441","psychogeriatric team","Male",2002,"40–",14
"442","psychogeriatric team","Male",2002,"50–",15
"443","psychogeriatric team","Male",2002,"60–",11
"444","psychogeriatric team","Male",2002,"60–",14
"445","psychogeriatric team","Male",2002,"65–",69
"446","psychogeriatric team","Male",2002,"70–",237
"447","psychogeriatric team","Male",2002,"75–",333
"448","psychogeriatric team","Male",2002,"80–",389
"449","psychogeriatric team","Male",2002,"85+",378
"450","psychogeriatric team","Male",2002,"85+",312
"451","psychogeriatric team","Female",2002,"0–",0
"452","psychogeriatric team","Female",2002,"10–",0
"453","psychogeriatric team","Female",2002,"15–",1
"454","psychogeriatric team","Female",2002,"20–",2
"455","psychogeriatric team","Female",2002,"25–",9
"456","psychogeriatric team","Female",2002,"30–",13
"457","psychogeriatric team","Female",2002,"35–",20
"458","psychogeriatric team","Female",2002,"40–",19
"459","psychogeriatric team","Female",2002,"40–",12
"460","psychogeriatric team","Female",2002,"50–",16
"461","psychogeriatric team","Female",2002,"60–",23
"462","psychogeriatric team","Female",2002,"60–",30
"463","psychogeriatric team","Female",2002,"65–",63
"464","psychogeriatric team","Female",2002,"70–",331
"465","psychogeriatric team","Female",2002,"75–",496
"466","psychogeriatric team","Female",2002,"80–",682
"467","psychogeriatric team","Female",2002,"85+",747
"468","psychogeriatric team","Female",2002,"85+",775
"469","youth specialty team","Male",2002,"0–",4
"470","youth specialty team","Male",2002,"10–",24
"471","youth specialty team","Male",2002,"15–",225
"472","youth specialty team","Male",2002,"20–",686
"473","youth specialty team","Male",2002,"25–",118
"474","youth specialty team","Male",2002,"30–",42
"475","youth specialty team","Male",2002,"35–",8
"476","youth specialty team","Male",2002,"40–",0
"477","youth specialty team","Male",2002,"40–",1
"478","youth specialty team","Male",2002,"50–",0
"479","youth specialty team","Male",2002,"60–",0
"480","youth specialty team","Male",2002,"60–",0
"481","youth specialty team","Male",2002,"65–",0
"482","youth specialty team","Male",2002,"70–",0
"483","youth specialty team","Male",2002,"75–",0
"484","youth specialty team","Male",2002,"80–",0
"485","youth specialty team","Male",2002,"85+",0
"486","youth specialty team","Male",2002,"85+",0
"487","youth specialty team","Female",2002,"0–",1
"488","youth specialty team","Female",2002,"10–",2
"489","youth specialty team","Female",2002,"15–",171
"490","youth specialty team","Female",2002,"20–",820
"491","youth specialty team","Female",2002,"25–",50
"492","youth specialty team","Female",2002,"30–",17
"493","youth specialty team","Female",2002,"35–",5
"494","youth specialty team","Female",2002,"40–",0
"495","youth specialty team","Female",2002,"40–",2
"496","youth specialty team","Female",2002,"50–",0
"497","youth specialty team","Female",2002,"60–",1
"498","youth specialty team","Female",2002,"60–",0
"499","youth specialty team","Female",2002,"65–",0
"500","youth specialty team","Female",2002,"70–",0
"501","youth specialty team","Female",2002,"75–",0
"502","youth specialty team","Female",2002,"80–",0
"503","youth specialty team","Female",2002,"85+",0
"504","youth specialty team","Female",2002,"85+",0
"505","maternal mental health team","Male",2002,"0–",1
"506","maternal mental health team","Male",2002,"10–",0
"507","maternal mental health team","Male",2002,"15–",0
"508","maternal mental health team","Male",2002,"20–",1
"509","maternal mental health team","Male",2002,"25–",6
"510","maternal mental health team","Male",2002,"30–",5
"511","maternal mental health team","Male",2002,"35–",3
"512","maternal mental health team","Male",2002,"40–",2
"513","maternal mental health team","Male",2002,"40–",3
"514","maternal mental health team","Male",2002,"50–",1
"515","maternal mental health team","Male",2002,"60–",0
"516","maternal mental health team","Male",2002,"60–",0
"517","maternal mental health team","Male",2002,"65–",0
"518","maternal mental health team","Male",2002,"70–",0
"519","maternal mental health team","Male",2002,"75–",0
"520","maternal mental health team","Male",2002,"80–",0
"521","maternal mental health team","Male",2002,"85+",0
"522","maternal mental health team","Male",2002,"85+",0
"523","maternal mental health team","Female",2002,"0–",0
"524","maternal mental health team","Female",2002,"10–",0
"525","maternal mental health team","Female",2002,"15–",0
"526","maternal mental health team","Female",2002,"20–",70
"527","maternal mental health team","Female",2002,"25–",232
"528","maternal mental health team","Female",2002,"30–",386
"529","maternal mental health team","Female",2002,"35–",453
"530","maternal mental health team","Female",2002,"40–",296
"531","maternal mental health team","Female",2002,"40–",81
"532","maternal mental health team","Female",2002,"50–",9
"533","maternal mental health team","Female",2002,"60–",4
"534","maternal mental health team","Female",2002,"60–",0
"535","maternal mental health team","Female",2002,"65–",1
"536","maternal mental health team","Female",2002,"70–",0
"537","maternal mental health team","Female",2002,"75–",0
"538","maternal mental health team","Female",2002,"80–",0
"539","maternal mental health team","Female",2002,"85+",0
"540","maternal mental health team","Female",2002,"85+",0
"541","eating disorder team","Male",2002,"0–",0
"542","eating disorder team","Male",2002,"10–",0
"543","eating disorder team","Male",2002,"15–",0
"544","eating disorder team","Male",2002,"20–",5
"545","eating disorder team","Male",2002,"25–",0
"546","eating disorder team","Male",2002,"30–",2
"547","eating disorder team","Male",2002,"35–",2
"548","eating disorder team","Male",2002,"40–",1
"549","eating disorder team","Male",2002,"40–",0
"550","eating disorder team","Male",2002,"50–",1
"551","eating disorder team","Male",2002,"60–",1
"552","eating disorder team","Male",2002,"60–",1
"553","eating disorder team","Male",2002,"65–",0
"554","eating disorder team","Male",2002,"70–",0
"555","eating disorder team","Male",2002,"75–",0
"556","eating disorder team","Male",2002,"80–",0
"557","eating disorder team","Male",2002,"85+",0
"558","eating disorder team","Male",2002,"85+",0
"559","eating disorder team","Female",2002,"0–",0
"560","eating disorder team","Female",2002,"10–",0
"561","eating disorder team","Female",2002,"15–",20
"562","eating disorder team","Female",2002,"20–",63
"563","eating disorder team","Female",2002,"25–",69
"564","eating disorder team","Female",2002,"30–",44
"565","eating disorder team","Female",2002,"35–",22
"566","eating disorder team","Female",2002,"40–",22
"567","eating disorder team","Female",2002,"40–",14
"568","eating disorder team","Female",2002,"50–",5
"569","eating disorder team","Female",2002,"60–",3
"570","eating disorder team","Female",2002,"60–",1
"571","eating disorder team","Female",2002,"65–",0
"572","eating disorder team","Female",2002,"70–",0
"573","eating disorder team","Female",2002,"75–",0
"574","eating disorder team","Female",2002,"80–",0
"575","eating disorder team","Female",2002,"85+",0
"576","eating disorder team","Female",2002,"85+",1
"577","needs assessment and service coordination team","Male",2002,"0–",3
"578","needs assessment and service coordination team","Male",2002,"10–",69
"579","needs assessment and service coordination team","Male",2002,"15–",122
"580","needs assessment and service coordination team","Male",2002,"20–",78
"581","needs assessment and service coordination team","Male",2002,"25–",180
"582","needs assessment and service coordination team","Male",2002,"30–",207
"583","needs assessment and service coordination team","Male",2002,"35–",218
"584","needs assessment and service coordination team","Male",2002,"40–",205
"585","needs assessment and service coordination team","Male",2002,"40–",148
"586","needs assessment and service coordination team","Male",2002,"50–",124
