"","activity","gender","year","age_group","amount"
"260","residential team","Male",2002,"35–39",27
"261","residential team","Male",2002,"40–44",28
"262","residential team","Male",2002,"45–49",17
"263","residential team","Male",2002,"50–54",6
"264","residential team","Male",2002,"55–59",6
"265","residential team","Male",2002,"60–64",4
"266","residential team","Male",2002,"65–69",2
"267","residential team","Male",2002,"70–74",1
"268","residential team","Male",2002,"75–79",1
"269","residential team","Male",2002,"80–84",0
"270","residential team","Male",2002,"85+",0
"271","residential team","Female",2002,"0–4",0
"272","residential team","Female",2002,"5–9",0
"273","residential team","Female",2002,"10–14",0
"274","residential team","Female",2002,"15–19",0
"275","residential team","Female",2002,"20–24",5
"276","residential team","Female",2002,"25–29",6
"277","residential team","Female",2002,"30–34",7
"278","residential team","Female",2002,"35–39",7
"279","residential team","Female",2002,"40–44",17
"280","residential team","Female",2002,"45–49",9
"281","residential team","Female",2002,"50–54",9
"282","residential team","Female",2002,"55–59",5
"283","residential team","Female",2002,"60–64",2
"284","residential team","Female",2002,"65–69",5
"285","residential team","Female",2002,"70–74",0
"286","residential team","Female",2002,"75–79",0
"287","residential team","Female",2002,"80–84",0
"288","residential team","Female",2002,"85+",0
"289","community skills enhancement team","Male",2002,"0–4",0
"290","community skills enhancement team","Male",2002,"5–9",1
"291","community skills enhancement team","Male",2002,"10–14",1
"292","community skills enhancement team","Male",2002,"15–19",17
"293","community skills enhancement team","Male",2002,"20–24",60
"294","community skills enhancement team","Male",2002,"25–29",97
"295","community skills enhancement team","Male",2002,"30–34",122
"296","community skills enhancement team","Male",2002,"35–39",116
"297","community skills enhancement team","Male",2002,"40–44",111
"298","community skills enhancement team","Male",2002,"45–49",85
"299","community skills enhancement team","Male",2002,"50–54",69
"300","community skills enhancement team","Male",2002,"55–59",47
"301","community skills enhancement team","Male",2002,"60–64",25
"302","community skills enhancement team","Male",2002,"65–69",9
"303","community skills enhancement team","Male",2002,"70–74",11
"304","community skills enhancement team","Male",2002,"75–79",0
"305","community skills enhancement team","Male",2002,"80–84",2
"306","community skills enhancement team","Male",2002,"85+",0
"307","community skills enhancement team","Female",2002,"0–4",0
"308","community skills enhancement team","Female",2002,"5–9",0
"309","community skills enhancement team","Female",2002,"10–14",1
"310","community skills enhancement team","Female",2002,"15–19",9
"311","community skills enhancement team","Female",2002,"20–24",38
"312","community skills enhancement team","Female",2002,"25–29",61
"313","community skills enhancement team","Female",2002,"30–34",114
"314","community skills enhancement team","Female",2002,"35–39",123
"315","community skills enhancement team","Female",2002,"40–44",96
"316","community skills enhancement team","Female",2002,"45–49",80
"317","community skills enhancement team","Female",2002,"50–54",80
"318","community skills enhancement team","Female",2002,"55–59",52
"319","community skills enhancement team","Female",2002,"60–64",31
"320","community skills enhancement team","Female",2002,"65–69",11
"321","community skills enhancement team","Female",2002,"70–74",9
"322","community skills enhancement team","Female",2002,"75–79",12
"323","community skills enhancement team","Female",2002,"80–84",3
"324","community skills enhancement team","Female",2002,"85+",0
"325","alcohol and drug kaupapa māori team","Male",2002,"0–4",0
"326","alcohol and drug kaupapa māori team","Male",2002,"5–9",0
"327","alcohol and drug kaupapa māori team","Male",2002,"10–14",10
"328","alcohol and drug kaupapa māori team","Male",2002,"15–19",65
"329","alcohol and drug kaupapa māori team","Male",2002,"20–24",82
"330","alcohol and drug kaupapa māori team","Male",2002,"25–29",80
"331","alcohol and drug kaupapa māori team","Male",2002,"30–34",109
"332","alcohol and drug kaupapa māori team","Male",2002,"35–39",99
"333","alcohol and drug kaupapa māori team","Male",2002,"40–44",65
"334","alcohol and drug kaupapa māori team","Male",2002,"45–49",42
"335","alcohol and drug kaupapa māori team","Male",2002,"50–54",16
"336","alcohol and drug kaupapa māori team","Male",2002,"55–59",7
"337","alcohol and drug kaupapa māori team","Male",2002,"60–64",1
"338","alcohol and drug kaupapa māori team","Male",2002,"65–69",1
"339","alcohol and drug kaupapa māori team","Male",2002,"70–74",0
"340","alcohol and drug kaupapa māori team","Male",2002,"75–79",3
"341","alcohol and drug kaupapa māori team","Male",2002,"80–84",0
"342","alcohol and drug kaupapa māori team","Male",2002,"85+",0
"343","alcohol and drug kaupapa māori team","Female",2002,"0–4",0
"344","alcohol and drug kaupapa māori team","Female",2002,"5–9",0
"345","alcohol and drug kaupapa māori team","Female",2002,"10–14",14
"346","alcohol and drug kaupapa māori team","Female",2002,"15–19",44
"347","alcohol and drug kaupapa māori team","Female",2002,"20–24",46
"348","alcohol and drug kaupapa māori team","Female",2002,"25–29",54
"349","alcohol and drug kaupapa māori team","Female",2002,"30–34",80
"350","alcohol and drug kaupapa māori team","Female",2002,"35–39",71
"351","alcohol and drug kaupapa māori team","Female",2002,"40–44",36
"352","alcohol and drug kaupapa māori team","Female",2002,"45–49",22
"353","alcohol and drug kaupapa māori team","Female",2002,"50–54",8
"354","alcohol and drug kaupapa māori team","Female",2002,"55–59",4
"355","alcohol and drug kaupapa māori team","Female",2002,"60–64",3
"356","alcohol and drug kaupapa māori team","Female",2002,"65–69",2
"357","alcohol and drug kaupapa māori team","Female",2002,"70–74",1
"358","alcohol and drug kaupapa māori team","Female",2002,"75–79",0
"359","alcohol and drug kaupapa māori team","Female",2002,"80–84",0
"360","alcohol and drug kaupapa māori team","Female",2002,"85+",0
"361","alcohol and drug dual diagnosis team","Male",2002,"0–4",0
"362","alcohol and drug dual diagnosis team","Male",2002,"5–9",0
"363","alcohol and drug dual diagnosis team","Male",2002,"10–14",3
"364","alcohol and drug dual diagnosis team","Male",2002,"15–19",16
"365","alcohol and drug dual diagnosis team","Male",2002,"20–24",44
"366","alcohol and drug dual diagnosis team","Male",2002,"25–29",59
"367","alcohol and drug dual diagnosis team","Male",2002,"30–34",45
"368","alcohol and drug dual diagnosis team","Male",2002,"35–39",54
"369","alcohol and drug dual diagnosis team","Male",2002,"40–44",25
"370","alcohol and drug dual diagnosis team","Male",2002,"45–49",26
"371","alcohol and drug dual diagnosis team","Male",2002,"50–54",18
"372","alcohol and drug dual diagnosis team","Male",2002,"55–59",7
"373","alcohol and drug dual diagnosis team","Male",2002,"60–64",6
"374","alcohol and drug dual diagnosis team","Male",2002,"65–69",1
"375","alcohol and drug dual diagnosis team","Male",2002,"70–74",0
"376","alcohol and drug dual diagnosis team","Male",2002,"75–79",0
"377","alcohol and drug dual diagnosis team","Male",2002,"80–84",0
"378","alcohol and drug dual diagnosis team","Male",2002,"85+",0
"379","alcohol and drug dual diagnosis team","Female",2002,"0–4",0
"380","alcohol and drug dual diagnosis team","Female",2002,"5–9",0
"381","alcohol and drug dual diagnosis team","Female",2002,"10–14",0
"382","alcohol and drug dual diagnosis team","Female",2002,"15–19",11
"383","alcohol and drug dual diagnosis team","Female",2002,"20–24",35
"384","alcohol and drug dual diagnosis team","Female",2002,"25–29",37
"385","alcohol and drug dual diagnosis team","Female",2002,"30–34",44
"386","alcohol and drug dual diagnosis team","Female",2002,"35–39",30
"387","alcohol and drug dual diagnosis team","Female",2002,"40–44",25
"388","alcohol and drug dual diagnosis team","Female",2002,"45–49",17
"389","alcohol and drug dual diagnosis team","Female",2002,"50–54",13
"390","alcohol and drug dual diagnosis team","Female",2002,"55–59",3
"391","alcohol and drug dual diagnosis team","Female",2002,"60–64",5
"392","alcohol and drug dual diagnosis team","Female",2002,"65–69",4
"393","alcohol and drug dual diagnosis team","Female",2002,"70–74",0
"394","alcohol and drug dual diagnosis team","Female",2002,"75–79",0
"395","alcohol and drug dual diagnosis team","Female",2002,"80–84",0
"396","alcohol and drug dual diagnosis team","Female",2002,"85+",0
"397","intellectual disability dual diagnosis team","Male",2002,"0–4",0
"398","intellectual disability dual diagnosis team","Male",2002,"5–9",0
"399","intellectual disability dual diagnosis team","Male",2002,"10–14",0
"400","intellectual disability dual diagnosis team","Male",2002,"15–19",13
"401","intellectual disability dual diagnosis team","Male",2002,"20–24",31
"402","intellectual disability dual diagnosis team","Male",2002,"25–29",38
"403","intellectual disability dual diagnosis team","Male",2002,"30–34",39
"404","intellectual disability dual diagnosis team","Male",2002,"35–39",39
"405","intellectual disability dual diagnosis team","Male",2002,"40–44",57
"406","intellectual disability dual diagnosis team","Male",2002,"45–49",31
"407","intellectual disability dual diagnosis team","Male",2002,"50–54",29
"408","intellectual disability dual diagnosis team","Male",2002,"55–59",18
"409","intellectual disability dual diagnosis team","Male",2002,"60–64",9
"410","intellectual disability dual diagnosis team","Male",2002,"65–69",5
"411","intellectual disability dual diagnosis team","Male",2002,"70–74",3
"412","intellectual disability dual diagnosis team","Male",2002,"75–79",0
"413","intellectual disability dual diagnosis team","Male",2002,"80–84",0
"414","intellectual disability dual diagnosis team","Male",2002,"85+",0
"415","intellectual disability dual diagnosis team","Female",2002,"0–4",0
"416","intellectual disability dual diagnosis team","Female",2002,"5–9",1
"417","intellectual disability dual diagnosis team","Female",2002,"10–14",0
"418","intellectual disability dual diagnosis team","Female",2002,"15–19",13
"419","intellectual disability dual diagnosis team","Female",2002,"20–24",13
"420","intellectual disability dual diagnosis team","Female",2002,"25–29",23
"421","intellectual disability dual diagnosis team","Female",2002,"30–34",33
"422","intellectual disability dual diagnosis team","Female",2002,"35–39",37
"423","intellectual disability dual diagnosis team","Female",2002,"40–44",47
"424","intellectual disability dual diagnosis team","Female",2002,"45–49",37
"425","intellectual disability dual diagnosis team","Female",2002,"50–54",22
"426","intellectual disability dual diagnosis team","Female",2002,"55–59",11
"427","intellectual disability dual diagnosis team","Female",2002,"60–64",14
"428","intellectual disability dual diagnosis team","Female",2002,"65–69",5
"429","intellectual disability dual diagnosis team","Female",2002,"70–74",2
"430","intellectual disability dual diagnosis team","Female",2002,"75–79",0
"431","intellectual disability dual diagnosis team","Female",2002,"80–84",0
"432","intellectual disability dual diagnosis team","Female",2002,"85+",1
"433","psychogeriatric team","Male",2002,"0–4",0
"434","psychogeriatric team","Male",2002,"5–9",1
"435","psychogeriatric team","Male",2002,"10–14",0
"436","psychogeriatric team","Male",2002,"15–19",5
"437","psychogeriatric team","Male",2002,"20–24",19
"438","psychogeriatric team","Male",2002,"25–29",16
"439","psychogeriatric team","Male",2002,"30–34",19
"440","psychogeriatric team","Male",2002,"35–39",17
"441","psychogeriatric team","Male",2002,"40–44",14
"442","psychogeriatric team","Male",2002,"45–49",15
"443","psychogeriatric team","Male",2002,"50–54",11
"444","psychogeriatric team","Male",2002,"55–59",14
"445","psychogeriatric team","Male",2002,"60–64",69
"446","psychogeriatric team","Male",2002,"65–69",237
"447","psychogeriatric team","Male",2002,"70–74",333
"448","psychogeriatric team","Male",2002,"75–79",389
"449","psychogeriatric team","Male",2002,"80–84",378
"450","psychogeriatric team","Male",2002,"85+",312
"451","psychogeriatric team","Female",2002,"0–4",0
"452","psychogeriatric team","Female",2002,"5–9",0
"453","psychogeriatric team","Female",2002,"10–14",1
"454","psychogeriatric team","Female",2002,"15–19",2
"455","psychogeriatric team","Female",2002,"20–24",9
"456","psychogeriatric team","Female",2002,"25–29",13
"457","psychogeriatric team","Female",2002,"30–34",20
"458","psychogeriatric team","Female",2002,"35–39",19
"459","psychogeriatric team","Female",2002,"40–44",12
"460","psychogeriatric team","Female",2002,"45–49",16
"461","psychogeriatric team","Female",2002,"50–54",23
"462","psychogeriatric team","Female",2002,"55–59",30
"463","psychogeriatric team","Female",2002,"60–64",63
"464","psychogeriatric team","Female",2002,"65–69",331
"465","psychogeriatric team","Female",2002,"70–74",496
"466","psychogeriatric team","Female",2002,"75–79",682
"467","psychogeriatric team","Female",2002,"80–84",747
"468","psychogeriatric team","Female",2002,"85+",775
"469","youth specialty team","Male",2002,"0–4",4
"470","youth specialty team","Male",2002,"5–9",24
"471","youth specialty team","Male",2002,"10–14",225
"472","youth specialty team","Male",2002,"15–19",686
"473","youth specialty team","Male",2002,"20–24",118
"474","youth specialty team","Male",2002,"25–29",42
"475","youth specialty team","Male",2002,"30–34",8
"476","youth specialty team","Male",2002,"35–39",0
"477","youth specialty team","Male",2002,"40–44",1
"478","youth specialty team","Male",2002,"45–49",0
"479","youth specialty team","Male",2002,"50–54",0
"480","youth specialty team","Male",2002,"55–59",0
"481","youth specialty team","Male",2002,"60–64",0
"482","youth specialty team","Male",2002,"65–69",0
"483","youth specialty team","Male",2002,"70–74",0
"484","youth specialty team","Male",2002,"75–79",0
"485","youth specialty team","Male",2002,"80–84",0
"486","youth specialty team","Male",2002,"85+",0
"487","youth specialty team","Female",2002,"0–4",1
"488","youth specialty team","Female",2002,"5–9",2
"489","youth specialty team","Female",2002,"10–14",171
"490","youth specialty team","Female",2002,"15–19",820
"491","youth specialty team","Female",2002,"20–24",50
"492","youth specialty team","Female",2002,"25–29",17
"493","youth specialty team","Female",2002,"30–34",5
"494","youth specialty team","Female",2002,"35–39",0
"495","youth specialty team","Female",2002,"40–44",2
"496","youth specialty team","Female",2002,"45–49",0
"497","youth specialty team","Female",2002,"50–54",1
"498","youth specialty team","Female",2002,"55–59",0
"499","youth specialty team","Female",2002,"60–64",0
"500","youth specialty team","Female",2002,"65–69",0
"501","youth specialty team","Female",2002,"70–74",0
"502","youth specialty team","Female",2002,"75–79",0
"503","youth specialty team","Female",2002,"80–84",0
"504","youth specialty team","Female",2002,"85+",0
"505","maternal mental health team","Male",2002,"0–4",1
"506","maternal mental health team","Male",2002,"5–9",0
"507","maternal mental health team","Male",2002,"10–14",0
"508","maternal mental health team","Male",2002,"15–19",1
"509","maternal mental health team","Male",2002,"20–24",6
"510","maternal mental health team","Male",2002,"25–29",5
"511","maternal mental health team","Male",2002,"30–34",3
"512","maternal mental health team","Male",2002,"35–39",2
"513","maternal mental health team","Male",2002,"40–44",3
"514","maternal mental health team","Male",2002,"45–49",1
"515","maternal mental health team","Male",2002,"50–54",0
"516","maternal mental health team","Male",2002,"55–59",0
"517","maternal mental health team","Male",2002,"60–64",0
"518","maternal mental health team","Male",2002,"65–69",0
"519","maternal mental health team","Male",2002,"70–74",0
"520","maternal mental health team","Male",2002,"75–79",0
"521","maternal mental health team","Male",2002,"80–84",0
"522","maternal mental health team","Male",2002,"85+",0
"523","maternal mental health team","Female",2002,"0–4",0
"524","maternal mental health team","Female",2002,"5–9",0
"525","maternal mental health team","Female",2002,"10–14",0
"526","maternal mental health team","Female",2002,"15–19",70
"527","maternal mental health team","Female",2002,"20–24",232
"528","maternal mental health team","Female",2002,"25–29",386
"529","maternal mental health team","Female",2002,"30–34",453
"530","maternal mental health team","Female",2002,"35–39",296
"531","maternal mental health team","Female",2002,"40–44",81
"532","maternal mental health team","Female",2002,"45–49",9
"533","maternal mental health team","Female",2002,"50–54",4
"534","maternal mental health team","Female",2002,"55–59",0
"535","maternal mental health team","Female",2002,"60–64",1
"536","maternal mental health team","Female",2002,"65–69",0
"537","maternal mental health team","Female",2002,"70–74",0
"538","maternal mental health team","Female",2002,"75–79",0
"539","maternal mental health team","Female",2002,"80–84",0
"540","maternal mental health team","Female",2002,"85+",0
"541","eating disorder team","Male",2002,"0–4",0
"542","eating disorder team","Male",2002,"5–9",0
"543","eating disorder team","Male",2002,"10–14",0
"544","eating disorder team","Male",2002,"15–19",5
"545","eating disorder team","Male",2002,"20–24",0
"546","eating disorder team","Male",2002,"25–29",2
"547","eating disorder team","Male",2002,"30–34",2
"548","eating disorder team","Male",2002,"35–39",1
"549","eating disorder team","Male",2002,"40–44",0
"550","eating disorder team","Male",2002,"45–49",1
"551","eating disorder team","Male",2002,"50–54",1
"552","eating disorder team","Male",2002,"55–59",1
"553","eating disorder team","Male",2002,"60–64",0
"554","eating disorder team","Male",2002,"65–69",0
"555","eating disorder team","Male",2002,"70–74",0
"556","eating disorder team","Male",2002,"75–79",0
"557","eating disorder team","Male",2002,"80–84",0
"558","eating disorder team","Male",2002,"85+",0
"559","eating disorder team","Female",2002,"0–4",0
"560","eating disorder team","Female",2002,"5–9",0
"561","eating disorder team","Female",2002,"10–14",20
"562","eating disorder team","Female",2002,"15–19",63
"563","eating disorder team","Female",2002,"20–24",69
"564","eating disorder team","Female",2002,"25–29",44
